agent_log_sha256,agent_seconds,agent_setup_seconds,agent_steps,apply_patch_calls,assistant_text_turns,cache_token_ratio,cached_input_tokens,config,environment_setup_seconds,feature_passed,feature_total,input_tokens,model_calls,model_calls_with_cache,official_sol_credits,output_tokens,partial,patch_added_lines,patch_bytes,patch_deleted_lines,patch_sha256,peak_context_tokens,pier_litellm_cost_usd,reasoning_output_tokens,regression_passed,regression_total,resolved,result_sha256,reward,reward_sha256,rtk_commands,rtk_db_bytes,rtk_db_present,rtk_db_sha256,rtk_exec_time_ms,rtk_input_tokens,rtk_output_tokens,rtk_saved_tokens,rtk_weighted_savings_ratio,shell_calls,summarization_count,system_steps,task,task_checksum,tool_calls,total_provider_tokens,trajectory_sha256,trajectory_steps,trial_log_sha256,trial_name,uncached_input_tokens,user_turns,verifier_seconds,wall_seconds
7d95a0facb5e9538efa6b3ad7d7215e04adda925d183f39f96aabefa5591bea9,729.806436,1.73953,61,15,8,0.9666706043596612,3044096,codex,128.849637,6,6,3149052,61,61,68.63745,23289,0.9166666666666666,536,24477,113,9b50bc713f9662581e954ba61d96dfb9bc91958352388de5e795263cf8844567,76277,2.7454979999999995,8670,5,6,0,bc6f670a854348dbe14ee5b5763f2d57d53797f5968e6b5b4628bc2b69aa4fd6,0.0,75c78dddd694f54f9c53d9a0111ec265e2368b9a5228f627d618bae5ea677efa,,,False,,,,,,,27,0,3,abs-stepped-slices,90a0932908365effa95b05f8551016a0309ae77bbc107148df71d5eb8c5134ba,60,3172341,9b51cbd0962971ae02ee9453d8ee613c42bfeebd3ec0270d70344eea05ed18a7,66,c3dd85cb09f05f4042661881f554fea965417faa854f4c2e31418a3c982fd77a,abs-stepped-slices__fNW4VKg,104956,2,75.433378,960.202064
b2d6009bf734f7edb8951e18dd618e6e2117b15771ff5b0b29ca459aadf571e4,672.952141,0.698435,48,12,7,0.9645316987050774,2036736,codexzero,14.15682,6,6,2111632,48,48,49.52495,19605,1.0,479,23158,101,74cc93a3ba1709b34a05878891a8feb25fd69b4e8aad85ca0d8056717368adcc,60836,1.980998,7454,6,6,1,2759e1143b0245c811ed2dd3b620c9db3c394069eba3be98cef1f42f17144633,1.0,cbaa853ac9c31e9836371439ac83281a6a51923024aa44dc55c6ece1e408688d,,,False,,,,,,,24,0,3,abs-stepped-slices,90a0932908365effa95b05f8551016a0309ae77bbc107148df71d5eb8c5134ba,47,2131237,ce7deb8f1f1b5784fa484b14c33f8c19fd0ab54716d3f4f4cd2c9aa5e8d3c3e5,53,e04f63146cc7f52ff6b0c673bf1807ca4c561a0bfbf161116db66cedd1534e45,abs-stepped-slices__3mpacxA,74896,2,79.283378,790.962268
c1e1ae0dd289e632237b794c607e1eca37bdcf7109a98603951e9a4fb4cfe2d4,670.492691,1.380343,38,5,8,0.9525534848959466,1851904,codex_rtk,113.759069,6,6,1944147,38,38,50.133675,20606,1.0,510,23860,107,d3031267a5cf8c7e34f4a4fa8d4cf75ed1bb81225dd8e7316ce79a2e35368503,73366,2.005347,9007,6,6,1,4ff32a7f5f2711bdd94021408126b479f7f764ac2c812fe2f97b6cadd2ab9760,1.0,cbaa853ac9c31e9836371439ac83281a6a51923024aa44dc55c6ece1e408688d,32,32768,True,37c5f9ae65bfe08f51777fc82afc12dffe7350d7e9b6dbbfe42c01470c02af62,67854,189394,3518,185889,0.9814936059220462,27,0,3,abs-stepped-slices,90a0932908365effa95b05f8551016a0309ae77bbc107148df71d5eb8c5134ba,37,1964753,3a8ac8e3683e2493331039cf8aea53e7f66c7917b6396c9931726827f4099e03,43,3c07b9adc2feadb8d61c6fe716f2984972fb893f5c08041d2e6e005e6956f9ab,abs-stepped-slices__g3K6Nvz,92243,2,67.970194,877.060755
32a4076eb363b21802d5f85d1406d7227bcf92d8c958e835a970fa30bc5a54ac,550.349067,1.810552,30,5,7,0.9516130326726395,1422848,codex_caveman,119.247031,6,6,1495196,30,30,40.2181,17852,1.0,442,22223,94,f3a1be4860a5e8d2bd050763c164b7b5c20bfed517b06d31b8729e33bf59602d,67570,1.608724,8075,6,6,1,1511e31ca8c1c22e0f737e45c448b7921ed9e87eb4560735da027e8fbc7343b1,1.0,cbaa853ac9c31e9836371439ac83281a6a51923024aa44dc55c6ece1e408688d,,,False,,,,,,,0,0,3,abs-stepped-slices,90a0932908365effa95b05f8551016a0309ae77bbc107148df71d5eb8c5134ba,29,1513048,21c8d526b4b5e7651c266f877437ac75006ce17ed94f3d0ac19d2b30e74a383f,35,083e81001ad9f780038ff8c86ffad640ee6b14597825334d1c012a9639ff15e1,abs-stepped-slices__dE3C28X,72348,2,75.38748,774.362803
4065e352aeaf31e66099e78ff5cede97d6c7650d3f28d4f8f61f8aa8426248d3,856.021634,1.903883,45,7,13,0.9575197255194859,2940928,codex_caveman_rtk,124.345821,6,6,3071402,45,44,72.92185,26468,1.0,544,26189,111,14635b465f47ae922429328f0e53b8a5c378756d08b8286ab4649f823c12c7a0,104804,2.916874,11847,6,6,1,e70e707a243e74f30b24ae33afe324e94615c1617cef9f8911610f0516080e6c,1.0,cbaa853ac9c31e9836371439ac83281a6a51923024aa44dc55c6ece1e408688d,49,36864,True,88f9fbdfcb3a2355772f3432aa5ecf1523e904ab3a31630263c26878a47710c3,109711,273814,27845,245982,0.8983543573374626,23,0,3,abs-stepped-slices,90a0932908365effa95b05f8551016a0309ae77bbc107148df71d5eb8c5134ba,44,3097870,7bca2d49c061c71b90e99ab7780704901af2632508f2340d96fa67844f3a4e0d,50,8ff0c95fc55af056d98b4705d049da0a0bd6ca9fd17139bca7e851404950d628,abs-stepped-slices__3ScCqyd,130474,2,75.590141,1085.245653
58a9f8aa482c0c6cb67189c57189810923b9f32b518a666e4a075c10f1828fe8,678.033555,0.478369,42,8,10,0.9535856946391001,2324224,codex,212.964027,9,9,2437352,42,41,56.57005,17835,1.0,1377,107734,877,78073223b99815c9a63bb7ed06ebc0483f0663e4a37a368f8bd4083a6f1ec7a3,83877,2.262802,8036,94,94,1,41cf51dbbffc4e26865bf145f7583f9536849b7c5591c8cfc58e5346d37b7995,1.0,8917383170f781812d99b9d013bed245f5598cf3b08d5c95de1e0fe26ac58caf,,,False,,,,,,,25,0,3,anko-typed-variable-bindings,d74007cdc7c558184fc22d67b29855b2b590ffc80698f68be8821550012d4e6f,41,2455187,f54d38a6d2d9d3fd3ac034dfeec46dfe405dd211f2224f30bac12c36b1f82ab8,47,3f6fea93cdb4b6fc4b940fdeac87ae8aff348c28a74ce47e943e753cd8d12168,anko-typed-variable-bindings__TPjQmv7,113128,2,100.798186,1019.064803
e2d17fead1a657bcbc108c94ae587238751befe8724c8822ed00ff5fec36ea3c,663.138298,1.906596,66,6,8,0.9743430526145612,4923904,codexzero,215.156024,8,9,5053563,66,66,90.976425,17627,0.9902912621359223,1210,99765,840,26a1733d6741724ec5850c183f140d367eab65969264f4513f9e55b385dc2386,101251,3.6390569999999998,8284,94,94,0,bf7cfa22f33772bfbd7d9f115ae7198fcc43884bd5c3b4289d49f43be9c5802a,0.0,12145a289945b63c004f5a4d27b41b3693474fedf4154c8c3d0b466b65d57128,,,False,,,,,,,29,0,3,anko-typed-variable-bindings,d74007cdc7c558184fc22d67b29855b2b590ffc80698f68be8821550012d4e6f,65,5071190,f3ffe873c006e109a04603525cf38154f583a1dda902bf1a0f659c5f09673ec1,71,a85748dcf745895c9b1b61be3f20a79831fb65a5e22902408ac2860ce743476c,anko-typed-variable-bindings__vPPd2EW,129659,2,104.78916,1015.031368
128632d33353e2b70ea04e253bb1f1ec51e5cc345c3251d9c41656329590adaf,553.326681,2.418475,38,7,7,0.9533260075699554,2233088,codex_rtk,219.719057,5,9,2342418,38,37,54.18585,16808,0.9611650485436893,1243,105410,880,3a021367c63c4da357b160dec8094c1c9a0139505d4d1c58991f020a0eca8d83,85267,2.167434,8301,94,94,0,7ed4c87ab559c1804a06f940d564fb56aa68b0c388343b6d7e103313a1bbca0a,0.0,d9ea290a49e8dfb0b81baf0455b562ddc339a0d1dcd06ea8233472e28d5e77d3,44,32768,True,2affb326dee9f53e8880e968eaac609c313223308a18ac4533a1d6629767b2c3,88082,177270,24836,152448,0.8599763073278051,25,0,3,anko-typed-variable-bindings,d74007cdc7c558184fc22d67b29855b2b590ffc80698f68be8821550012d4e6f,37,2359226,21d6251febc11792ccb805c960e2b73b36959073734fcaf8e3866f4a024678af,43,fde6399fb1813bb7863036363c215e5de44eac22cd20854abccf5952f03afa30,anko-typed-variable-bindings__5ez2jQJ,109330,2,115.895312,919.943718
f871a2aec4ef898b2736e6d0524ec23edc69674bd8fd5f7ee8e62303e592533f,838.848413,2.399404,53,9,10,0.9678710298607811,3741440,codex_caveman,223.170543,1,9,3865639,53,53,80.037125,23659,0.9223300970873787,1312,107280,879,55e03ea3030d7b2428dab1df3f5f5f102b12464ff770fb0bf71369fdd3ad03e1,102627,3.201485,13576,94,94,0,7e2d60a39177b1f5425f45fc5a3994273675b9f42d5fac4afb1e7babf09cfe0f,0.0,98c26653afe21f012ad583dc4435edd82f256dbf4bf9bc49aeb65f725b3b6f00,,,False,,,,,,,35,0,3,anko-typed-variable-bindings,d74007cdc7c558184fc22d67b29855b2b590ffc80698f68be8821550012d4e6f,52,3889298,ef61dd25d6783571b4ffd1164aeaef6236e03c5c480acfc0762d2edb58b0d586,58,6fcc1024cfe4f78afd4bd93ff9904f8bc0ea42390112cb39efa6cf6d5bc45b05,anko-typed-variable-bindings__NgYfsFe,124199,2,89.630742,1180.32632
bc3c34e858dcff5a0e9e1c4530cfd619ca96bc89a19e4a2b29f39637e049e508,884.092478,1.724838,97,10,11,0.9789776587717586,7638016,codex_caveman_rtk,226.943789,1,9,7802033,97,96,135.583825,26142,0.9223300970873787,1271,103200,734,0cc304666b7af5866ff1e641e503b6ef61fa816cb6bcb8a81d1aa727cf74234b,107480,5.423353,13217,94,94,0,1d2ebb46b42111b28c673a6c22f08cb9a48749d867fa68484a7c9eeb7abbe7ae,0.0,98c26653afe21f012ad583dc4435edd82f256dbf4bf9bc49aeb65f725b3b6f00,62,36864,True,1e9b329d2144a3b5e567ec09fd814a547e83752edb251d894bb52512faec4902,214632,255879,22740,233153,0.9111845833382185,0,0,3,anko-typed-variable-bindings,d74007cdc7c558184fc22d67b29855b2b590ffc80698f68be8821550012d4e6f,96,7828175,f7c6186271e872aaebe059bcc0abecbe4b6bb4fba0cba36cbb14da8135b22296,102,2801368087338e29ed2ce4c2426a22191b22cad186bfba1b212483e122e072db,anko-typed-variable-bindings__4dVLDdq,164017,2,82.462826,1225.012859
