agent_seconds,agent_setup_seconds,agent_steps,apply_patch_calls,assistant_text_turns,cache_token_ratio,cached_input_tokens,config,environment_setup_seconds,feature_passed,feature_total,input_tokens,model_calls,model_calls_with_cache,official_sol_credits,output_tokens,partial,patch_added_lines,patch_bytes,patch_deleted_lines,patch_sha256,peak_context_tokens,pier_litellm_cost_usd,reasoning_output_tokens,regression_passed,regression_total,resolved,reward,reward_sha256,rtk_commands,rtk_db_bytes,rtk_db_present,rtk_db_sha256,rtk_exec_time_ms,rtk_input_tokens,rtk_output_tokens,rtk_saved_tokens,rtk_weighted_savings_ratio,shell_calls,summarization_count,system_steps,task,task_checksum,tool_calls,total_provider_tokens,trajectory_sha256,trajectory_steps,trial_name,uncached_input_tokens,user_turns,verifier_seconds,wall_seconds
678.033555,0.478369,42,8,10,0.9535856946391001,2324224,codex,212.964027,9,9,2437352,42,41,56.57005,17835,1.0,1377,107734,877,78073223b99815c9a63bb7ed06ebc0483f0663e4a37a368f8bd4083a6f1ec7a3,83877,2.262802,8036,94,94,1,1.0,8917383170f781812d99b9d013bed245f5598cf3b08d5c95de1e0fe26ac58caf,,,False,,,,,,,25,0,3,anko-typed-variable-bindings,d74007cdc7c558184fc22d67b29855b2b590ffc80698f68be8821550012d4e6f,41,2455187,f54d38a6d2d9d3fd3ac034dfeec46dfe405dd211f2224f30bac12c36b1f82ab8,47,anko-typed-variable-bindings__TPjQmv7,113128,2,100.798186,1019.064803
663.138298,1.906596,66,6,8,0.9743430526145612,4923904,codexzero,215.156024,8,9,5053563,66,66,90.976425,17627,0.9902912621359223,1210,99765,840,26a1733d6741724ec5850c183f140d367eab65969264f4513f9e55b385dc2386,101251,3.6390569999999998,8284,94,94,0,0.0,12145a289945b63c004f5a4d27b41b3693474fedf4154c8c3d0b466b65d57128,,,False,,,,,,,29,0,3,anko-typed-variable-bindings,d74007cdc7c558184fc22d67b29855b2b590ffc80698f68be8821550012d4e6f,65,5071190,f3ffe873c006e109a04603525cf38154f583a1dda902bf1a0f659c5f09673ec1,71,anko-typed-variable-bindings__vPPd2EW,129659,2,104.78916,1015.031368
553.326681,2.418475,38,7,7,0.9533260075699554,2233088,codex_rtk,219.719057,5,9,2342418,38,37,54.18585,16808,0.9611650485436893,1243,105410,880,3a021367c63c4da357b160dec8094c1c9a0139505d4d1c58991f020a0eca8d83,85267,2.167434,8301,94,94,0,0.0,d9ea290a49e8dfb0b81baf0455b562ddc339a0d1dcd06ea8233472e28d5e77d3,44,32768,True,2affb326dee9f53e8880e968eaac609c313223308a18ac4533a1d6629767b2c3,88082,177270,24836,152448,0.8599763073278051,25,0,3,anko-typed-variable-bindings,d74007cdc7c558184fc22d67b29855b2b590ffc80698f68be8821550012d4e6f,37,2359226,21d6251febc11792ccb805c960e2b73b36959073734fcaf8e3866f4a024678af,43,anko-typed-variable-bindings__5ez2jQJ,109330,2,115.895312,919.943718
838.848413,2.399404,53,9,10,0.9678710298607811,3741440,codex_caveman,223.170543,1,9,3865639,53,53,80.037125,23659,0.9223300970873787,1312,107280,879,55e03ea3030d7b2428dab1df3f5f5f102b12464ff770fb0bf71369fdd3ad03e1,102627,3.201485,13576,94,94,0,0.0,98c26653afe21f012ad583dc4435edd82f256dbf4bf9bc49aeb65f725b3b6f00,,,False,,,,,,,35,0,3,anko-typed-variable-bindings,d74007cdc7c558184fc22d67b29855b2b590ffc80698f68be8821550012d4e6f,52,3889298,ef61dd25d6783571b4ffd1164aeaef6236e03c5c480acfc0762d2edb58b0d586,58,anko-typed-variable-bindings__NgYfsFe,124199,2,89.630742,1180.32632
884.092478,1.724838,97,10,11,0.9789776587717586,7638016,codex_caveman_rtk,226.943789,1,9,7802033,97,96,135.583825,26142,0.9223300970873787,1271,103200,734,0cc304666b7af5866ff1e641e503b6ef61fa816cb6bcb8a81d1aa727cf74234b,107480,5.423353,13217,94,94,0,0.0,98c26653afe21f012ad583dc4435edd82f256dbf4bf9bc49aeb65f725b3b6f00,62,36864,True,1e9b329d2144a3b5e567ec09fd814a547e83752edb251d894bb52512faec4902,214632,255879,22740,233153,0.9111845833382185,0,0,3,anko-typed-variable-bindings,d74007cdc7c558184fc22d67b29855b2b590ffc80698f68be8821550012d4e6f,96,7828175,f7c6186271e872aaebe059bcc0abecbe4b6bb4fba0cba36cbb14da8135b22296,102,anko-typed-variable-bindings__4dVLDdq,164017,2,82.462826,1225.012859
783.866408,1.576635,69,12,7,0.9735829261895612,5426944,codex,12.289995,25,25,5574198,69,69,104.2083,23953,1.0,704,35027,89,c8909f121ae2e9670010170d6c0bed8e0dd7545e04b2e7948faf5b917dabb255,116987,4.168332,8874,1679,1679,1,1.0,c575d4a96aa97a21a8b16184df275c0d93bcaeb79faaa8f82d1b8865e6aad20a,,,False,,,,,,,32,0,3,arktype-json-schema-refs-dependencies,c76f0c8ec2f874858c6db78320769f2da362bbeee864d7dd33794af9bc00c635,68,5598151,806bec3cf6f1c791d25edd4ec63068adb7d5dc00e47936dd88c795f9365aa6d5,74,arktype-json-schema-refs-depende__fJWvqyN,147254,2,140.2283,961.60757
843.386229,0.571029,80,18,7,0.973399327619076,4831232,codexzero,14.002025,23,25,4963258,80,80,94.45115,23410,0.9988262910798122,709,31236,70,9e226930f58aae720b67de4a31ac2e8a1e5d0df87bb8da28495ef86438cd199e,87903,3.7780460000000002,10540,1679,1679,0,0.0,2e9e40dd0f450d554f5ae05e707c56f5ada2c8267184a5f2d491d694939582f8,,,False,,,,,,,28,0,3,arktype-json-schema-refs-dependencies,c76f0c8ec2f874858c6db78320769f2da362bbeee864d7dd33794af9bc00c635,79,4986668,0041cdeb66460b6083b7b964735dcdc7d1d05117f6ebbc9dc22ab0441da834b5,85,arktype-json-schema-refs-depende__UDyjkp3,132026,2,138.677404,1021.211953
883.791476,1.412656,93,12,9,0.9785327760065995,8642560,codex_rtk,12.462381,23,25,8832162,93,92,150.38625,24872,0.9988262910798122,590,309280,101,ad095b5cc4106ebd76cc7a86cdba1556c97047759251666e1e280d712b1d4787,135266,6.0154499999999995,9952,1679,1679,0,0.0,2e9e40dd0f450d554f5ae05e707c56f5ada2c8267184a5f2d491d694939582f8,48,53248,True,3a6cde9e6c51250608bdd7ad4b67a4594542dc3d94f678b49ea531400e47be78,284255,75071,73503,1581,0.02106006314022725,40,0,3,arktype-json-schema-refs-dependencies,c76f0c8ec2f874858c6db78320769f2da362bbeee864d7dd33794af9bc00c635,92,8857034,8acae3f6db10b0f92b991cd20165db527e5995b012a551748ec8ecb72e9aa771,98,arktype-json-schema-refs-depende__mjpgudr,189602,2,169.800543,1091.248772
997.68866,1.145223,103,22,14,0.9786527234816675,9304576,codex_caveman,13.810693,25,25,9507536,103,102,164.1682,29988,1.0,881,326262,256,f65b162d8e04e717c44c3676dbe05dc57e2d951289eb65e5cc1172ad7d9f60fb,134178,6.5667279999999995,12020,1679,1679,1,1.0,c575d4a96aa97a21a8b16184df275c0d93bcaeb79faaa8f82d1b8865e6aad20a,,,False,,,,,,,0,0,3,arktype-json-schema-refs-dependencies,c76f0c8ec2f874858c6db78320769f2da362bbeee864d7dd33794af9bc00c635,102,9537524,780d3435c9441de2a4a1e6727f2ff062aff158979e04ef87f46b6556dc569208,108,arktype-json-schema-refs-depende__pjzuCuB,202960,2,150.770795,1186.916037
894.896913,1.547947,58,14,10,0.966082717300649,4004352,codex_caveman_rtk,11.120148,25,25,4144937,58,58,85.090525,23284,1.0,637,311378,86,792a9511070b7f1291953b0bd88175f8db51c8270e54f82365a583ae6b62bf9f,117356,3.4036210000000002,10357,1679,1679,1,1.0,c575d4a96aa97a21a8b16184df275c0d93bcaeb79faaa8f82d1b8865e6aad20a,37,36864,True,172d1a97fe09419284ab0deca61e0e1babcdf1c965a17c312a78b89693e064f8,260020,78287,76584,1716,0.021919348039904453,33,0,3,arktype-json-schema-refs-dependencies,c76f0c8ec2f874858c6db78320769f2da362bbeee864d7dd33794af9bc00c635,57,4168221,6e69a1681fd3edddfd2cd3900f427beb82b79aae190514a7122651366be4c04a,63,arktype-json-schema-refs-depende__Q4by4Q9,140585,2,159.282873,1090.612089
